"aspace_uri","dob_count","dob_titles"
"/repositories/12/archival_objects/1075163",4,"[Preservica] ru_0971_2007-a-201_b002; [Preservica] ru_0971_2007-a-201_b003; [Preservica] ru_0971_2007-a-201_b001; [Preservica] ru_0971_2007-a-201_b004"
"/repositories/12/archival_objects/1084377",2,"[Preservica] ru_0821_19ND-a-086_b021_f0903; [Preservica] ru_0821_19ND-a-086_b021_f0902"
"/repositories/12/archival_objects/1090554",2,"[Preservica] ru_0232_s02_b050_f0527; [Preservica] ru_0232_s02_b050_f0527"
"/repositories/12/archival_objects/1090558",2,"[Preservica] ru_0232_s02_b050_f0531; [Preservica] ru_0232_s02_b050_f0531"
"/repositories/12/archival_objects/1090616",2,"[Preservica] ru_0232_s02_b054_f0593; [Preservica] ru_0232_s02_b054_f0593"
"/repositories/12/archival_objects/1090658",2,"[Preservica] ru_0232_s03_b057_f0024; [Preservica] ru_0232_s03_b057_f0024"
"/repositories/12/archival_objects/1090688",2,"[Preservica] ru_0232_s03_b058_f0064; [Preservica] ru_0232_s03_b058_f0064"
"/repositories/12/archival_objects/1090719",2,"[Preservica] ru_0232_s03_b060_f0105; [Preservica] ru_0232_s03_b060_f0105"
"/repositories/12/archival_objects/1090721",2,"[Preservica] ru_0232_s03_b060_f0107; [Preservica] ru_0232_s03_b060_f0107"
"/repositories/12/archival_objects/1090731",2,"[Preservica] ru_0232_s03_b061_f0128; [Preservica] ru_0232_s03_b061_f0128"
"/repositories/12/archival_objects/1090797",2,"[Preservica] ru_0232_s03_b069_f0273; [Preservica] ru_0232_s03_b069_f0273"
"/repositories/12/archival_objects/1090818",2,"[Preservica] ru_0232_s03_b075_f0348(*); [Preservica] ru_0232_s03_b075_f0349(*)"
"/repositories/12/archival_objects/1090824",2,"[Preservica] ru_0232_s03_b075_f0358; [Preservica] ru_0232_s03_b075_f0358"
"/repositories/12/archival_objects/1090842",2,"[Preservica] ru_0232_s03_b077_f0398(*); [Preservica] ru_0232_s03_b077_f0399(*)"
"/repositories/12/archival_objects/1090843",6,"[Preservica] ru_0232_s03_b078_f0400(*); [Preservica] ru_0232_s03_b078_f0402(*); [Preservica] ru_0232_s03_b078_f0401(*); [Preservica] ru_0232_s03_b078_f0403(*); [Preservica] ru_0232_s03_b078_f0405(*); [Preservica] ru_0232_s03_b078_f0404(*)"
"/repositories/12/archival_objects/1090868",2,"[Preservica] ru_0232_s03_b081_f0466; [Preservica] ru_0232_s03_b081_f0466"
"/repositories/12/archival_objects/1090901",2,"[Preservica] ru_0232_s03_b085_f0529; [Preservica] ru_0232_s03_b085_f0529"
"/repositories/12/archival_objects/1090908",2,"[Preservica] ru_0232_s03_b085_f0539; [Preservica] ru_0232_s03_b085_f0539"
"/repositories/12/archival_objects/1091001",2,"[Preservica] ru_0232_s03_b097_f0762; [Preservica] ru_0232_s03_b097_f0762"
"/repositories/12/archival_objects/1091008",3,"[Preservica] ru_0232_s03_b098_f0778; [Preservica] ru_0232_s03_b098_f0778; [Preservica] ru_0232_s03_b098_f0778"
"/repositories/12/archival_objects/1091052",2,"[Preservica] ru_0232_s03_b100_f0824; [Preservica] ru_0232_s03_b100_f0825"
"/repositories/12/archival_objects/1091053",2,"[Preservica] ru_0232_s03_b100_f0826; [Preservica] ru_0232_s03_b100_f0826"
"/repositories/12/archival_objects/1091058",5,"[Preservica] ru_0232_s03_b101_0f842(*); [Preservica] ru_0232_s03_b101_f0840(*); [Preservica] ru_0232_s03_b101_f0841(*); [Preservica] ru_0232_s03_b101_f0845(*); [Preservica] ru_0232_s03_b101_f0844(*)"
"/repositories/12/archival_objects/1091093",2,"[Preservica] ru_0232_s03_b107_f0939; [Preservica] ru_0232_s03_b107_f0938"
"/repositories/12/archival_objects/1091095",2,"[Preservica] ru_0232_s03_b108_f0944; [Preservica] ru_0232_s03_b108_f0944"
"/repositories/12/archival_objects/1091683",2,"[Preservica] ru_0232_s13_b190_f0009; [Preservica] ru_0232_s13_b190_f0009"
"/repositories/12/archival_objects/1091687",2,"[Preservica] ru_0232_s14_b191_f0002; [Preservica] ru_0232_s14_b191_f0002"
"/repositories/12/archival_objects/1091691",2,"[Preservica] ru_0232_s14_b191_f0006; [Preservica] ru_0232_s14_b191_f0006"
"/repositories/12/archival_objects/1091722",2,"[Preservica] ru_0232_s14_b192_f0034; [Preservica] ru_0232_s14_b192_f0034"
"/repositories/12/archival_objects/1091723",2,"[Preservica] ru_0232_s14_b192_f0035; [Preservica] ru_0232_s14_b192_f0035"
"/repositories/12/archival_objects/1091727",2,"[Preservica] ru_0232_s14_b193_f0039; [Preservica] ru_0232_s14_b193_f0039"
"/repositories/12/archival_objects/1091728",2,"[Preservica] ru_0232_s14_b193_f0040; [Preservica] ru_0232_s14_b193_f0040"
"/repositories/12/archival_objects/1091732",2,"[Preservica] ru_0232_s14_b193_f0044; [Preservica] ru_0232_s14_b193_f0044"
"/repositories/12/archival_objects/1091733",2,"[Preservica] ru_0232_s14_b193_f0045; [Preservica] ru_0232_s14_b193_f0045"
"/repositories/12/archival_objects/1091734",2,"[Preservica] ru_0232_s14_b193_f0046; [Preservica] ru_0232_s14_b193_f0046"
"/repositories/12/archival_objects/1091738",4,"[Preservica] ru_0232_s14_b194_f0056; [Preservica] ru_0232_s14_b194_f0057; [Preservica] ru_0232_s14_b194_f0058; [Preservica] ru_0232_s14_b194_f0059"
"/repositories/12/archival_objects/1091740",2,"[Preservica] ru_0232_s14_b195_f0065; [Preservica] ru_0232_s14_b195_f0065"
"/repositories/12/archival_objects/1091741",2,"[Preservica] ru_0232_s14_b195_f0066; [Preservica] ru_0232_s14_b195_f0066"
"/repositories/12/archival_objects/1091751",2,"[Preservica] ru_0232_s14_b195_f0077; [Preservica] ru_0232_s14_b195_f0077"
"/repositories/12/archival_objects/1091976",2,"[Preservica] ru_0232_s17_b228; [Preservica] ru_0232_s17_b228"
"/repositories/12/archival_objects/1092939",4,"[Preservica] 2009-a-198-2901; [Preservica] 2009-a-198-2902; [Preservica] 2009-a-198-2903; [Preservica] 2009-a-198-2904"
"/repositories/12/archival_objects/1093022",2,"[Preservica] ru_0232_2009-a-198_b027_f0923; [Preservica] ru_0232_2009-a-198_b027_f0923"
"/repositories/12/archival_objects/1093023",2,"[Preservica] ru_0232_2009-a-198_b027_f0924; [Preservica] ru_0232_2009-a-198_b027_f0924"
"/repositories/12/archival_objects/1171705",2,"[Preservica] ms_0082_s01_b001_f0015(*); [Preservica] ms_0082_s01_b001_f0013(*)"
"/repositories/12/archival_objects/1171708",3,"[Preservica] ms_0082_s01_b002_f0023; [Preservica] ms_0082_s01_b002_f0025; [Preservica] ms_0082_s01_b002_f0024"
"/repositories/12/archival_objects/1171835",11,"[Preservica] ms_0105_s01_b001_f0003; [Preservica] ms_0105_s01_b001_f0007; [Preservica] ms_0105_s01_b001_f0022; [Preservica] ms_0105_s01_b001_f0024; [Preservica] ms_0105_s01_b001_f0026; [Preservica] ms_0105_s01_b001_f0027; [Preservica] ms_0105_s01_b001_f0028; [Preservica] ms_0105_s01_b001_f0029; [Preservica] ms_0105_s01_b001_f0030; [Preservica] ms_0105_s01_b001_f0031; [Preservica] ms_0105_s01_b001_f0032"
"/repositories/12/archival_objects/1171836",7,"[Preservica] ms_0105_s01_b002_f0034; [Preservica] ms_0105_s01_b002_f0036; [Preservica] ms_0105_s01_b002_f0039; [Preservica] ms_0105_s01_b002_f0040; [Preservica] ms_0105_s01_b002_f0042; [Preservica] ms_0105_s01_b002_f0054; [Preservica] ms_0105_s01_b002_f0056"
