"uri","component_id","display_string","iso_language_code","language","acquistions_note"
archives.yale.edu/repositories/11/archival_objects/2404407,P.CtYBR inv. 4816,"Document, Ptolemaic",egy,Egyptian (Ancient),"Acquisition information, 1992b: Purchased from Alan Edouard Samuel (University of Toronto) in New York, 24 February 1992. Related to acquisition 1965a. Horde includes P.CtYBR inv. 2016 (in part), 3077 (in part), 3078-3083, 3601-3607, 3610-3615, 3617, 3623-3629, 3658, 3666-3667, 3790, 3855-3999, 4001-4028, 4045-4079, 4081-4090, 4134-4183, 4186-4474, 4512-4596, 4675-4689, 4700, 4736-4899, 4901-4970, 5296-5458, 5549-6086, 6089-6094."
archives.yale.edu/repositories/11/archival_objects/2400233,P.CtYBR inv. 885,Literary work,cop,Coptic,"1931a"
archives.yale.edu/repositories/11/archival_objects/2401705,P.CtYBR inv. 2440,Uncertain genre,ara,Arabic,"1965a"
archives.yale.edu/repositories/11/archival_objects/2403081,P.CtYBR inv. 2898,"Literary work (?), Byzantine CE vi [TCP]",cop,Coptic,"1964"
archives.yale.edu/repositories/11/archival_objects/2404171,P.CtYBR inv. 4434,Literary text (?),egy,Egyptian (Ancient),"Acquisition information, 1992b: Purchased from Alan Edouard Samuel (University of Toronto) in New York, 24 February 1992. Related to acquisition 1965a. Horde includes P.CtYBR inv. 2016 (in part), 3077 (in part), 3078-3083, 3601-3607, 3610-3615, 3617, 3623-3629, 3658, 3666-3667, 3790, 3855-3999, 4001-4028, 4045-4079, 4081-4090, 4134-4183, 4186-4474, 4512-4596, 4675-4689, 4700, 4736-4899, 4901-4970, 5296-5458, 5549-6086, 6089-6094."
archives.yale.edu/repositories/11/archival_objects/2405984,P.CtYBR inv. 5479 (A-B),"Account (?), Ptolemaic",grc,"Greek, Ancient (to 1453)","1994c"
archives.yale.edu/repositories/11/archival_objects/2405450,P.CtYBR inv. 4712,"Document, Byzantine",grc,"Greek, Ancient (to 1453)","1997a"
archives.yale.edu/repositories/11/archival_objects/2403676,P.CtYBR inv. 3948(A),"Document, Roman",grc,"Greek, Ancient (to 1453)","Acquisition information, 1992b: Purchased from Alan Edouard Samuel (University of Toronto) in New York, 24 February 1992. Related to acquisition 1965a. Horde includes P.CtYBR inv. 2016 (in part), 3077 (in part), 3078-3083, 3601-3607, 3610-3615, 3617, 3623-3629, 3658, 3666-3667, 3790, 3855-3999, 4001-4028, 4045-4079, 4081-4090, 4134-4183, 4186-4474, 4512-4596, 4675-4689, 4700, 4736-4899, 4901-4970, 5296-5458, 5549-6086, 6089-6094."
archives.yale.edu/repositories/11/archival_objects/2403817,P.CtYBR inv. 4086(B),"Document, Roman",grc,"Greek, Ancient (to 1453)","Acquisition information, 1992b: Purchased from Alan Edouard Samuel (University of Toronto) in New York, 24 February 1992. Related to acquisition 1965a. Horde includes P.CtYBR inv. 2016 (in part), 3077 (in part), 3078-3083, 3601-3607, 3610-3615, 3617, 3623-3629, 3658, 3666-3667, 3790, 3855-3999, 4001-4028, 4045-4079, 4081-4090, 4134-4183, 4186-4474, 4512-4596, 4675-4689, 4700, 4736-4899, 4901-4970, 5296-5458, 5549-6086, 6089-6094."
archives.yale.edu/repositories/11/archival_objects/2405681,P.CtYBR inv. 5236 (A-F),"Document, Byzantine",grc,"Greek, Ancient (to 1453)","1997a"
archives.yale.edu/repositories/11/archival_objects/2403150,P.CtYBR inv. 3003,"Document, Byzantine-Medieval CE vi-vii [TCP]",grc,"Greek, Ancient (to 1453)","1964"
archives.yale.edu/repositories/11/archival_objects/2403411,P.CtYBR inv. 2663 qua,"Letter, Medieval CE ix [NA]",ara,Arabic,"1965c"
archives.yale.edu/repositories/11/archival_objects/2403316,P.CtYBR inv. 2201,"Literary work, Roman CE early iii [BPG, CBW]",grc,"Greek, Ancient (to 1453)","Acquisition Information, 1909: Donated by the Egypt Exploration Fund, March 1909. From the Egypt Exploration Fund's excavations. Horde includes P.CtYBR inv. 2191-2203."
