filepath,filename,uri
/Volumes/Home/FC_MSSA2-807001-YUL/suc_nonclient/TempLimbOutputs/ms_1439_s01_b019_f0367,ms_1439_s01_b019_f0367,/repositories/12/archival_objects/1250305
/Volumes/Home/FC_MSSA2-807001-YUL/suc_nonclient/TempLimbOutputs/ms_1964_s01_b002_f0001,ms_1964_s01_b002_f0001,/repositories/12/archival_objects/2061186
/Volumes/Home/FC_MSSA2-807001-YUL/suc_nonclient/TempLimbOutputs/ru_0001_s01_b248,ru_0001_s01_b248,/repositories/12/archival_objects/1007730
/Volumes/Home/FC_MSSA2-807001-YUL/suc_nonclient/TempLimbOutputs/ms_0318_s01_b083_f1511,ms_0318_s01_b083_f1511,/repositories/12/archival_objects/2018260
/Volumes/Home/FC_MSSA2-807001-YUL/suc_nonclient/TempLimbOutputs/ms_1825_s04_b009_f0017,ms_1825_s04_b009_f0017,/repositories/12/archival_objects/2006161
/Volumes/Home/FC_MSSA2-807001-YUL/suc_nonclient/TempLimbOutputs/ms_1825_s04_b009_f0022,ms_1825_s04_b009_f0022,/repositories/12/archival_objects/2006176
/Volumes/Home/FC_MSSA2-807001-YUL/suc_nonclient/TempLimbOutputs/ms_0130_s02_b005_f0058,ms_0130_s02_b005_f0058,/repositories/12/archival_objects/1182900
/Volumes/Home/FC_MSSA2-807001-YUL/suc_nonclient/TempLimbOutputs/ms_0130_s02_b005_f0062,ms_0130_s02_b005_f0062,/repositories/12/archival_objects/1182904
/Volumes/Home/FC_MSSA2-807001-YUL/suc_nonclient/TempLimbOutputs/ms_0670_s05_b146_f1370,ms_0670_s05_b146_f1370,/repositories/12/archival_objects/1418193
/Volumes/Home/FC_MSSA2-807001-YUL/suc_nonclient/TempLimbOutputs/ms_1825_s13_b026_f0010,ms_1825_s13_b026_f0010,/repositories/12/archival_objects/2006924
/Volumes/Home/FC_MSSA2-807001-YUL/suc_nonclient/TempLimbOutputs/ms_1825_s13_b026_f0002,ms_1825_s13_b026_f0002,/repositories/12/archival_objects/2006896
/Volumes/Home/FC_MSSA2-807001-YUL/suc_nonclient/TempLimbOutputs/ms_1825_s13_b026_f0003,ms_1825_s13_b026_f0003,/repositories/12/archival_objects/2006900
/Volumes/Home/FC_MSSA2-807001-YUL/suc_nonclient/TempLimbOutputs/ms_1825_s13_b026_f0004,ms_1825_s13_b026_f0004,/repositories/12/archival_objects/2006903
/Volumes/Home/FC_MSSA2-807001-YUL/suc_nonclient/TempLimbOutputs/ms_1825_s13_b026_f0005,ms_1825_s13_b026_f0005,/repositories/12/archival_objects/2006907
/Volumes/Home/FC_MSSA2-807001-YUL/suc_nonclient/TempLimbOutputs/ms_1825_s13_b026_f0006,ms_1825_s13_b026_f0006,/repositories/12/archival_objects/2006911
/Volumes/Home/FC_MSSA2-807001-YUL/suc_nonclient/TempLimbOutputs/ms_0325_s06_b250_f0479,ms_0325_s06_b250_f0479,/repositories/12/archival_objects/1957005
/Volumes/Home/FC_MSSA2-807001-YUL/suc_nonclient/TempLimbOutputs/ms_0670_s01_b011_f0133,ms_0670_s01_b011_f0133,/repositories/12/archival_objects/1417254
/Volumes/Home/FC_MSSA2-807001-YUL/suc_nonclient/TempLimbOutputs/ms_1131_s01_b001_f0001,ms_1131_s01_b001_f0001,/repositories/12/archival_objects/1259814
/Volumes/Home/FC_MSSA2-807001-YUL/suc_nonclient/TempLimbOutputs/ms_1961_s02_b049_f0003,ms_1961_s02_b049_f0003,/repositories/12/archival_objects/2056515
/Volumes/Home/FC_MSSA2-807001-YUL/suc_nonclient/TempLimbOutputs/ms_1840_s02_b016_f0110,ms_1840_s02_b016_f0110,/repositories/12/archival_objects/1297124
/Volumes/Home/FC_MSSA2-807001-YUL/suc_nonclient/TempLimbOutputs/ms_0550_s01_b004_f0110,ms_0550_s01_b004_f0110,/repositories/12/archival_objects/1278497
/Volumes/Home/FC_MSSA2-807001-YUL/suc_nonclient/TempLimbOutputs/ms_0326_s01_b020_f0810,ms_0326_s01_b020_f0810,/repositories/12/archival_objects/1837950
/Volumes/Home/FC_MSSA2-807001-YUL/suc_nonclient/TempLimbOutputs/ms_0593_s04_b479,ms_0593_s04_b479,/repositories/12/archival_objects/1370852
/Volumes/Home/FC_MSSA2-807001-YUL/suc_nonclient/TempLimbOutputs/ms_0011_s04_b006_f0313,ms_0011_s04_b006_f0313,/repositories/12/archival_objects/1225145
/Volumes/Home/FC_MSSA2-807001-YUL/suc_nonclient/TempLimbOutputs/ms_0692_s04_b057_f0008,ms_0692_s04_b057_f0008,/repositories/12/archival_objects/1376662
/Volumes/Home/FC_MSSA2-807001-YUL/suc_nonclient/TempLimbOutputs/ms_2071_s03_b040_f0006,ms_2071_s03_b040_f0006,/repositories/12/archival_objects/2978816
/Volumes/Home/FC_MSSA2-807001-YUL/suc_nonclient/TempLimbOutputs/ms_0051_s02_b017_f0299,ms_0051_s02_b017_f0299,/repositories/12/archival_objects/1226470
/Volumes/Home/FC_MSSA2-807001-YUL/suc_nonclient/TempLimbOutputs/ms_2071_s01_b016_f0006,ms_2071_s01_b016_f0006,/repositories/12/archival_objects/2979035
/Volumes/Home/FC_MSSA2-807001-YUL/suc_nonclient/TempLimbOutputs/ms_0569_s02_b068_f1282,ms_0569_s02_b068_f1282,/repositories/12/archival_objects/1392711
/Volumes/Home/FC_MSSA2-807001-YUL/suc_nonclient/TempLimbOutputs/ms_0325_s01_b016_f0443,ms_0325_s01_b016_f0443,/repositories/12/archival_objects/1955272
/Volumes/Home/FC_MSSA2-807001-YUL/suc_nonclient/TempLimbOutputs/ms_0788_s01_b019_f0701,ms_0788_s01_b019_f0701,/repositories/12/archival_objects/1488258
/Volumes/Home/FC_MSSA2-807001-YUL/suc_nonclient/TempLimbOutputs/ms_1315_s01_b001_f00A2,ms_1315_s01_b001_f00A2,/repositories/12/archival_objects/1209180
