uri,original,update,info
/repositories/11/archival_objects/702411,['(1 box)'],['1 box'],200
/repositories/11/archival_objects/702413,['(1 box)'],['1 box'],200
/repositories/11/archival_objects/702419,['(1 box)'],['1 box'],200
/repositories/11/archival_objects/702421,['(2 boxes)'],['2 boxes'],200
/repositories/11/archival_objects/702424,['(3 boxes)'],['3 boxes'],200
/repositories/11/archival_objects/702428,['(1 box)'],['1 box'],200
/repositories/11/archival_objects/702434,['(1 box)'],['1 box'],200
/repositories/11/archival_objects/702436,['(1 box)'],['1 box'],200
/repositories/11/archival_objects/705936,['(2 boxes)'],['2 boxes'],200
/repositories/11/archival_objects/542175,['(1 box)'],['1 box'],200
/repositories/11/archival_objects/543914,['(81 boxes)'],['81 boxes'],200
/repositories/11/archival_objects/169350,['(7 boxes)'],['7 boxes'],200
/repositories/11/archival_objects/172187,['(2 boxes)'],['2 boxes'],200
/repositories/11/archival_objects/172309,['(16 boxes)'],['16 boxes'],200
/repositories/11/archival_objects/172851,['(3 boxes)'],['3 boxes'],200
/repositories/11/archival_objects/172899,['(3 boxes)'],['3 boxes'],200
/repositories/11/archival_objects/173990,['(8 boxes)'],['8 boxes'],200
/repositories/11/archival_objects/174827,['(1 box)'],['1 box'],200
/repositories/11/archival_objects/185940,['(8 boxes)'],['8 boxes'],200
/repositories/11/archival_objects/186069,['(8 boxes)'],['8 boxes'],200
/repositories/11/archival_objects/207484,['(23 boxes)'],['23 boxes'],200
/repositories/11/archival_objects/208340,['(1 box)'],['1 box'],200
/repositories/11/archival_objects/227661,['(18 boxes)'],['18 boxes'],200
/repositories/11/archival_objects/228551,['(7 boxes)'],['7 boxes'],200
/repositories/11/archival_objects/228691,['(1 box)'],['1 box'],200
/repositories/11/archival_objects/237910,['(1 box)'],['1 box'],200
/repositories/11/archival_objects/237921,['(1 box)'],['1 box'],200
/repositories/11/archival_objects/251483,['(35 boxes)'],['35 boxes'],200
/repositories/11/archival_objects/254927,['(7 boxes)'],['7 boxes'],200
/repositories/11/archival_objects/256817,['(1 box)'],['1 box'],200
/repositories/11/archival_objects/256912,['(1 box)'],['1 box'],200
/repositories/11/archival_objects/257366,['(2 boxes)'],['2 boxes'],200
/repositories/11/archival_objects/257378,['(9 boxes)'],['9 boxes'],200
/repositories/11/archival_objects/257785,['(1 box)'],['1 box'],200
/repositories/11/archival_objects/266753,['(4 boxes)'],['4 boxes'],200
/repositories/11/archival_objects/266816,['(7 boxes)'],['7 boxes'],200
/repositories/11/archival_objects/270837,['(4 boxes)'],['4 boxes'],200
/repositories/11/archival_objects/270846,['(1 box)'],['1 box'],200
/repositories/11/archival_objects/272116,['(1 box)'],['1 box'],200
/repositories/11/archival_objects/273734,['(2 boxes)'],['2 boxes'],200
/repositories/11/archival_objects/273760,['(3 boxes)'],['3 boxes'],200
/repositories/11/archival_objects/275546,['(3 boxes)'],['3 boxes'],200
